epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,22155.9,0.77597,0.57147,0.93774,0.20032,1,0.23219,0.19478,0.64601,16.9639,0.92279,0.000929,0.000929,0.000929
121,22356.9,0.81519,0.63891,0.94751,0.20033,1,0.22277,0.18511,0.72623,16.7466,0.93901,0.00092,0.00092,0.00092
122,22544.9,0.78188,0.54453,0.93179,0.20033,1,0.23194,0.18859,0.88993,17.3331,0.9834,0.000911,0.000911,0.000911
123,22772.6,0.75767,0.52662,0.92622,0.20034,1,0.23123,0.19254,0.87707,23.0543,0.97068,0.000902,0.000902,0.000902
124,23054.1,0.77246,0.7709,0.927,0.20039,1,0.23447,0.19657,0.78366,20.0953,0.94131,0.000893,0.000893,0.000893
125,23290.3,0.78384,0.55283,0.93265,0.20034,1,0.23203,0.19499,0.79288,15.821,0.94413,0.000884,0.000884,0.000884
126,23391.1,0.77964,0.6128,0.92299,0.20031,1,0.2191,0.18582,0.61894,15.5353,0.90934,0.000875,0.000875,0.000875
127,23430.4,0.79167,0.62727,0.93279,0.20028,1,0.21706,0.17777,0.71582,16.0977,0.93115,0.000866,0.000866,0.000866
128,23574.1,0.79241,0.63144,0.94525,0.19938,1,0.21431,0.17756,0.60765,14.7458,0.92118,0.000857,0.000857,0.000857
129,23846.5,0.78021,0.58,0.93623,0.20029,1,0.21247,0.17743,0.68129,15.8102,0.92382,0.000848,0.000848,0.000848
130,24155.9,0.76864,0.61722,0.94067,0.20031,1,0.19976,0.16598,0.70714,14.9236,0.93111,0.000839,0.000839,0.000839
131,24412.9,0.75408,0.53189,0.91188,0.20032,1,0.20437,0.17209,0.70516,17.5706,0.92826,0.00083,0.00083,0.00083
132,24535.9,0.77558,0.52903,0.93661,0.20032,1,0.20717,0.17196,0.77898,20.272,0.94389,0.000821,0.000821,0.000821
133,24657.4,0.77764,0.59209,0.9355,0.20031,1,0.20391,0.16817,0.60606,16.2526,0.91433,0.000812,0.000812,0.000812
134,24846.4,0.76481,0.59152,0.92367,0.20033,1,0.21251,0.17566,0.63131,16.1363,0.91693,0.000803,0.000803,0.000803
135,25023.7,0.78977,0.49813,0.93686,0.20034,1,0.22235,0.18134,0.99467,23.5912,1.02055,0.000794,0.000794,0.000794
136,25228.8,0.76825,0.53477,0.91083,0.20111,1,0.22778,0.19215,0.83263,24.6732,0.9635,0.000785,0.000785,0.000785
137,25503,0.7619,0.52566,0.93026,0.20035,1,0.2297,0.19367,0.80076,21.431,0.95228,0.000776,0.000776,0.000776
138,25735.2,0.76441,0.55977,0.93934,0.20034,1,0.22552,0.19185,0.72477,17.6948,0.93367,0.000767,0.000767,0.000767
139,26010,0.73187,0.58135,0.91732,0.20033,1,0.22619,0.1908,0.62848,17.236,0.91354,0.000758,0.000758,0.000758
140,26199.4,0.76057,0.55457,0.92506,0.20033,1,0.23095,0.19658,0.65936,18.8142,0.92142,0.000749,0.000749,0.000749
141,26377.1,0.74031,0.56546,0.91749,0.20032,1,0.22384,0.18611,0.67995,16.9565,0.92923,0.00074,0.00074,0.00074
142,26517.7,0.74565,0.55699,0.92653,0.20032,1,0.20647,0.17178,0.66603,17.5949,0.92318,0.000731,0.000731,0.000731
143,26634.1,0.73683,0.57721,0.92428,0.20032,1,0.20784,0.17113,0.71848,17.608,0.93246,0.000722,0.000722,0.000722
144,26769.9,0.74485,0.58841,0.92905,0.20032,1,0.20666,0.175,0.66671,15.0282,0.92103,0.000713,0.000713,0.000713
145,26954.2,0.74906,0.53715,0.92027,0.20032,1,0.20596,0.17166,0.73529,17.049,0.93175,0.000704,0.000704,0.000704
146,27112.4,0.73599,0.63471,0.92984,0.20031,1,0.20005,0.16612,0.63539,17.3053,0.91677,0.000695,0.000695,0.000695
147,27308.4,0.74153,0.63099,0.91914,0.20031,1,0.21041,0.17474,0.67285,14.299,0.93288,0.000686,0.000686,0.000686
148,27483.7,0.76386,0.58164,0.93151,0.2003,1,0.20561,0.17196,0.67814,13.435,0.92709,0.000677,0.000677,0.000677
149,27715.1,0.75163,0.55047,0.9185,0.20031,1,0.2081,0.17851,0.6627,18.3634,0.92475,0.000668,0.000668,0.000668
150,27889.1,0.75084,0.56364,0.93022,0.20033,1,0.22237,0.18576,0.70099,21.3323,0.93083,0.000659,0.000659,0.000659
151,28107.5,0.74545,0.59872,0.91394,0.20033,1,0.24531,0.20608,0.64356,19.9032,0.91747,0.00065,0.00065,0.00065
152,28454.1,0.7481,0.60797,0.91873,0.20034,1,0.22833,0.1894,0.66489,15.1506,0.92382,0.000641,0.000641,0.000641
153,28607.1,0.73866,0.6001,0.92921,0.20033,1,0.24185,0.20527,0.64648,15.1116,0.91614,0.000632,0.000632,0.000632
154,28800.4,0.74755,0.58103,0.92083,0.20034,1,0.25694,0.21643,0.64511,17.1551,0.9146,0.000623,0.000623,0.000623
155,28949.3,0.72481,0.55173,0.91562,0.20034,1,0.23525,0.19984,0.62674,19.502,0.91204,0.000614,0.000614,0.000614
156,29162.6,0.74979,0.55108,0.93017,0.20115,1,0.23365,0.19618,0.72816,20.9881,0.93694,0.000605,0.000605,0.000605
157,29342.4,0.746,0.55107,0.94742,0.20137,1,0.22217,0.18562,0.64958,16.4863,0.91595,0.000596,0.000596,0.000596
158,29600.1,0.71999,0.54937,0.90463,0.20035,1,0.22146,0.18563,0.68315,16.9881,0.92193,0.000587,0.000587,0.000587
159,29926.7,0.74211,0.56449,0.90629,0.20033,1,0.21403,0.17969,0.62844,17.4445,0.9119,0.000578,0.000578,0.000578
160,30125,0.73459,0.58152,0.92488,0.20026,1,0.21739,0.17678,0.69893,16.1138,0.92763,0.000569,0.000569,0.000569
161,30412.3,0.71334,0.5382,0.90215,0.20031,1,0.21356,0.18193,0.64006,15.7094,0.9126,0.00056,0.00056,0.00056
162,30645.6,0.72489,0.54847,0.91075,0.20032,1,0.20273,0.17312,0.63245,16.1564,0.9104,0.000551,0.000551,0.000551
163,30767.5,0.71555,0.55811,0.91361,0.20033,1,0.20686,0.17293,0.61028,17.3317,0.90737,0.000542,0.000542,0.000542
164,30916.1,0.75073,0.52418,0.9309,0.20033,1,0.20846,0.17561,0.60494,17.8393,0.90723,0.000533,0.000533,0.000533
165,31213.9,0.74448,0.55273,0.91795,0.20033,1,0.20688,0.1744,0.65987,18.6561,0.91439,0.000524,0.000524,0.000524
166,31488.7,0.70199,0.55427,0.91666,0.20033,1,0.21445,0.18224,0.69027,18.7686,0.92122,0.000515,0.000515,0.000515
167,31724.4,0.72897,0.59541,0.90507,0.20033,1,0.21685,0.18105,0.75295,18.3966,0.93819,0.000506,0.000506,0.000506
168,31831.3,0.73333,0.54368,0.91584,0.20033,1,0.22241,0.1847,0.67075,18.6844,0.92117,0.000497,0.000497,0.000497
169,31962.2,0.70273,0.56271,0.90866,0.20033,1,0.22522,0.19,0.66902,16.1666,0.91975,0.000488,0.000488,0.000488
170,32059.7,0.71271,0.57138,0.91203,0.20043,1,0.21922,0.18571,0.61731,18.015,0.91111,0.000479,0.000479,0.000479
171,32207.8,0.71523,0.5069,0.90768,0.20251,1,0.22843,0.19366,0.5977,19.2566,0.905,0.00047,0.00047,0.00047
172,32364.1,0.73628,0.52436,0.91222,0.20263,1,0.2215,0.18878,0.62624,20.0649,0.91219,0.000461,0.000461,0.000461
173,32665.7,0.7228,0.60425,0.91247,0.20261,1,0.21392,0.18144,0.615,18.8805,0.91418,0.000452,0.000452,0.000452
174,32764.8,0.71644,0.60353,0.9055,0.20258,1,0.21073,0.17654,0.66525,15.388,0.91989,0.000443,0.000443,0.000443
175,32888,0.75122,0.52707,0.92729,0.2027,1,0.21542,0.18203,0.61727,15.3116,0.90866,0.000434,0.000434,0.000434
176,33062,0.72219,0.55015,0.89986,0.20267,1,0.2159,0.18287,0.61634,17.5948,0.90522,0.000425,0.000425,0.000425
177,33212.7,0.70498,0.56505,0.89705,0.20249,1,0.20675,0.17434,0.60838,18.6554,0.90431,0.000416,0.000416,0.000416
178,33310.3,0.71703,0.54162,0.90999,0.20047,1,0.20543,0.17387,0.58292,18.1539,0.90049,0.000407,0.000407,0.000407
179,33566.2,0.71805,0.55636,0.91904,0.20032,1,0.20806,0.17451,0.61106,15.999,0.90615,0.000398,0.000398,0.000398
180,33800,0.69968,0.52908,0.89729,0.20033,1,0.20954,0.17742,0.56391,15.8914,0.89967,0.000389,0.000389,0.000389
181,33990.8,0.70797,0.57445,0.91105,0.20033,1,0.20721,0.17429,0.61997,16.9106,0.90845,0.00038,0.00038,0.00038
182,34119.3,0.69633,0.56932,0.91973,0.20034,1,0.20948,0.17902,0.5848,15.9434,0.89914,0.000371,0.000371,0.000371
183,34187.9,0.70659,0.52647,0.92022,0.20035,1,0.20787,0.17575,0.64744,17.3539,0.90863,0.000362,0.000362,0.000362
184,34435,0.70489,0.48032,0.90437,0.20113,1,0.21229,0.17997,0.61906,19.3192,0.90409,0.000353,0.000353,0.000353
185,34684.1,0.70243,0.53276,0.9046,0.20169,0.99751,0.21103,0.17776,0.63786,20.218,0.91193,0.000344,0.000344,0.000344
186,35005.9,0.72907,0.62565,0.91411,0.20277,1,0.21148,0.17775,0.63822,19.0786,0.90885,0.000335,0.000335,0.000335
187,35166.6,0.69473,0.53431,0.91244,0.2019,0.99138,0.20779,0.17704,0.64293,16.7733,0.90944,0.000326,0.000326,0.000326
188,35341.9,0.69156,0.51296,0.8989,0.20294,0.99138,0.21788,0.185,0.66324,17.1789,0.91171,0.000317,0.000317,0.000317
189,35461.6,0.70057,0.55913,0.91133,0.20417,1,0.214,0.18202,0.64927,18.1239,0.91076,0.000308,0.000308,0.000308
190,35569.6,0.70041,0.52566,0.90251,0.20358,1,0.22446,0.19004,0.62697,18.6548,0.9065,0.000299,0.000299,0.000299
191,35741,0.67586,0.85435,0.93077,0.20139,1,0.22554,0.1923,0.60123,18.1639,0.90563,0.00029,0.00029,0.00029
192,35979.2,0.67282,0.56213,0.91573,0.20139,1,0.22787,0.19263,0.59872,18.7534,0.9044,0.000281,0.000281,0.000281
193,36170.7,0.67358,0.92826,0.94088,0.20138,1,0.22229,0.18776,0.63778,16.5617,0.9097,0.000272,0.000272,0.000272
194,36326,0.67077,0.55457,0.92418,0.20139,1,0.2243,0.19216,0.61324,15.7003,0.90644,0.000263,0.000263,0.000263
